"x" "F"
"1" 179.555210517101 0.006
"2" 191.657717243916 0.007
"3" 218.763971134596 0.009
"4" 232.622527184029 0.01
"5" 233.091851661613 0.01
"6" 263.851193988441 0.013
"7" 275.739125386137 0.014
"8" 281.585894611354 0.014
"9" 286.30554059246 0.015
"10" 287.43008820127 0.015
"11" 314.151072347232 0.018
"12" 322.235443948139 0.019
"13" 341.663097243733 0.021
"14" 346.309730417342 0.022
"15" 350.780460952721 0.022
"16" 380.107711744499 0.026
"17" 392.194916343428 0.028
"18" 403.420130717561 0.029
"19" 417.936669373067 0.032
"20" 424.28446503774 0.033
"21" 446.457374233095 0.036
"22" 450.327049447346 0.037
"23" 453.120195624569 0.037
"24" 459.217597779059 0.039
"25" 472.329643510897 0.041
"26" 525.353983030528 0.051
"27" 540.606499211423 0.054
"28" 542.81446209733 0.055
"29" 553.87972977549 0.057
"30" 567.539798443023 0.06
"31" 569.836976749472 0.061
"32" 574.406298482932 0.062
"33" 576.662487258716 0.062
"34" 591.041585103406 0.065
"35" 611.201370220595 0.07
"36" 620.052777555467 0.072
"37" 621.974118612807 0.073
"38" 643.727456880669 0.078
"39" 668.385678375678 0.085
"40" 675.144044143531 0.086
"41" 675.549498808876 0.086
"42" 680.699697349984 0.088
"43" 694.14906343229 0.091
"44" 706.675726551306 0.095
"45" 709.463129451824 0.096
"46" 716.493260335235 0.098
"47" 717.071641706875 0.098
"48" 720.849288812545 0.099
"49" 731.325932329286 0.102
"50" 736.081489727695 0.103
"51" 751.831675575517 0.108
"52" 758.522888426359 0.109
"53" 763.314203557109 0.111
"54" 770.567124106153 0.113
"55" 777.792893650918 0.115
"56" 780.217196657275 0.116
"57" 782.219625198157 0.116
"58" 792.795049426682 0.12
"59" 792.938166006937 0.12
"60" 802.886499663984 0.123
"61" 812.020693134016 0.125
"62" 822.375236787572 0.129
"63" 824.945413477558 0.129
"64" 826.358273439701 0.13
"65" 832.632569563489 0.132
"66" 842.457535728477 0.135
"67" 846.263576026286 0.136
"68" 868.615099923171 0.143
"69" 869.394940749052 0.143
"70" 872.374033796651 0.144
"71" 876.646647321199 0.146
"72" 891.303427576595 0.15
"73" 894.253346118599 0.151
"74" 896.060330743849 0.152
"75" 903.196259906625 0.154
"76" 905.340510843238 0.155
"77" 911.184164835424 0.157
"78" 912.05727673163 0.157
"79" 914.040461622635 0.158
"80" 914.348614205382 0.158
"81" 919.440381467314 0.16
"82" 922.158688921164 0.16
"83" 927.483376857777 0.162
"84" 930.598981412028 0.163
"85" 936.941277676479 0.165
"86" 938.56622112014 0.166
"87" 945.750686591518 0.168
"88" 945.96275166108 0.168
"89" 947.017194905501 0.169
"90" 948.014113078982 0.169
"91" 948.107247075226 0.169
"92" 951.369468136974 0.17
"93" 952.39765921001 0.17
"94" 960.968024576742 0.173
"95" 969.998441337172 0.176
"96" 972.190120002372 0.177
"97" 980.432079566092 0.18
"98" 982.735331473303 0.181
"99" 990.804013742984 0.183
"100" 994.065037189067 0.184
"101" 998.145732674651 0.186
"102" 1002.97967043126 0.187
"103" 1005.07373725955 0.188
"104" 1008.29729348798 0.189
"105" 1012.43277396026 0.191
"106" 1014.48297741176 0.191
"107" 1016.21041092548 0.192
"108" 1043.38386407031 0.201
"109" 1043.9320291474 0.202
"110" 1046.56389833144 0.202
"111" 1048.39913862746 0.203
"112" 1054.54815720824 0.205
"113" 1058.43260297502 0.207
"114" 1059.27041368411 0.207
