"x" "F"
"1" 179.555210517101 0.011
"2" 191.657717243916 0.012
"3" 218.763971134596 0.014
"4" 232.622527184029 0.015
"5" 233.091851661613 0.015
"6" 263.851193988441 0.018
"7" 275.739125386137 0.019
"8" 281.585894611354 0.02
"9" 286.30554059246 0.021
"10" 287.43008820127 0.021
"11" 314.151072347232 0.024
"12" 322.235443948139 0.025
"13" 341.663097243733 0.027
"14" 346.309730417342 0.027
"15" 350.780460952721 0.028
"16" 380.107711744499 0.032
"17" 392.194916343428 0.033
"18" 403.420130717561 0.035
"19" 417.936669373067 0.037
"20" 424.28446503774 0.038
"21" 446.457374233095 0.041
"22" 450.327049447346 0.042
"23" 453.120195624569 0.042
"24" 459.217597779059 0.043
"25" 472.329643510897 0.045
"26" 525.353983030528 0.054
"27" 540.606499211423 0.057
"28" 542.81446209733 0.057
"29" 553.87972977549 0.06
"30" 567.539798443023 0.062
"31" 569.836976749472 0.063
"32" 574.406298482932 0.063
"33" 576.662487258716 0.064
"34" 591.041585103406 0.067
"35" 611.201370220595 0.071
"36" 620.052777555467 0.073
"37" 621.974118612807 0.073
"38" 643.727456880669 0.078
"39" 668.385678375678 0.083
"40" 675.144044143531 0.085
"41" 675.549498808876 0.085
"42" 680.699697349984 0.086
"43" 694.14906343229 0.089
"44" 706.675726551306 0.092
"45" 709.463129451824 0.092
"46" 716.493260335235 0.094
"47" 717.071641706875 0.094
"48" 720.849288812545 0.095
"49" 731.325932329286 0.098
"50" 736.081489727695 0.099
"51" 751.831675575517 0.103
"52" 758.522888426359 0.104
"53" 763.314203557109 0.106
"54" 770.567124106153 0.107
"55" 777.792893650918 0.109
"56" 780.217196657275 0.11
"57" 782.219625198157 0.11
"58" 792.795049426682 0.113
"59" 792.938166006937 0.113
"60" 802.886499663984 0.116
"61" 812.020693134016 0.118
"62" 822.375236787572 0.121
"63" 824.945413477558 0.122
"64" 826.358273439701 0.122
"65" 832.632569563489 0.124
"66" 842.457535728477 0.126
"67" 846.263576026286 0.128
"68" 868.615099923171 0.134
"69" 869.394940749052 0.134
"70" 872.374033796651 0.135
"71" 876.646647321199 0.136
"72" 891.303427576595 0.14
"73" 894.253346118599 0.141
"74" 896.060330743849 0.142
"75" 903.196259906625 0.144
"76" 905.340510843238 0.144
"77" 911.184164835424 0.146
"78" 912.05727673163 0.146
"79" 914.040461622635 0.147
"80" 914.348614205382 0.147
"81" 919.440381467314 0.148
"82" 922.158688921164 0.149
"83" 927.483376857777 0.151
"84" 930.598981412028 0.152
"85" 936.941277676479 0.154
"86" 938.56622112014 0.154
"87" 945.750686591518 0.156
"88" 945.96275166108 0.156
"89" 947.017194905501 0.157
"90" 948.014113078982 0.157
"91" 948.107247075226 0.157
"92" 951.369468136974 0.158
"93" 952.39765921001 0.158
"94" 960.968024576742 0.161
"95" 969.998441337172 0.164
"96" 972.190120002372 0.164
"97" 980.432079566092 0.167
"98" 982.735331473303 0.168
"99" 990.804013742984 0.17
"100" 994.065037189067 0.171
"101" 998.145732674651 0.173
"102" 1002.97967043126 0.174
"103" 1005.07373725955 0.175
"104" 1008.29729348798 0.176
"105" 1012.43277396026 0.177
"106" 1014.48297741176 0.178
"107" 1016.21041092548 0.178
"108" 1043.38386407031 0.187
"109" 1043.9320291474 0.187
"110" 1046.56389833144 0.188
"111" 1048.39913862746 0.189
"112" 1054.54815720824 0.191
"113" 1058.43260297502 0.192
"114" 1059.27041368411 0.192
"115" 1064.86023909284 0.194
"116" 1067.82263536497 0.195
"117" 1074.84911892739 0.198
"118" 1075.26361939635 0.198
"119" 1078.03308960573 0.199
"120" 1085.59303613046 0.201
"121" 1103.78496932586 0.207
"122" 1104.19752891086 0.207
"123" 1108.45795721604 0.209
"124" 1108.71928279657 0.209
"125" 1109.99201467535 0.209
"126" 1112.44778733713 0.21
"127" 1119.34417903537 0.213
"128" 1125.67294351075 0.215
"129" 1134.1897099576 0.218
"130" 1135.73471302841 0.218
"131" 1144.78610062116 0.221
"132" 1144.84411254062 0.221
"133" 1144.92342094381 0.221
"134" 1149.97838876639 0.223
"135" 1153.43535647986 0.224
"136" 1153.61771761912 0.224
"137" 1164.48105138943 0.228
"138" 1170.3115468332 0.23
"139" 1172.28537723898 0.231
"140" 1174.71306596901 0.232
"141" 1175.266084912 0.232
"142" 1182.88930076801 0.235
"143" 1186.00766505432 0.236
"144" 1189.22226582332 0.237
"145" 1192.66719152652 0.238
"146" 1205.59439261546 0.243
"147" 1215.52250867801 0.246
"148" 1218.09867516655 0.247
"149" 1224.77964781641 0.25
"150" 1234.12335780174 0.253
"151" 1236.74712357786 0.254
"152" 1237.16101343212 0.254
"153" 1247.16300690284 0.258
"154" 1251.22872601355 0.259
"155" 1257.43893872572 0.262
"156" 1263.71935344006 0.264
"157" 1265.27254653456 0.264
"158" 1266.41741267634 0.265
"159" 1269.67426805486 0.266
"160" 1270.73787517284 0.266
"161" 1271.59543295521 0.267
"162" 1272.12631477194 0.267
"163" 1277.51698540661 0.269
"164" 1284.48188739955 0.271
"165" 1287.54448843433 0.273
"166" 1297.44710113484 0.276
"167" 1298.65510519345 0.277
"168" 1306.32389269694 0.28
"169" 1327.06229632176 0.287
"170" 1332.16362796447 0.289
"171" 1333.15153263853 0.29
"172" 1334.9233572739 0.29
"173" 1343.43410838193 0.293
"174" 1345.06268094681 0.294
"175" 1346.30405633371 0.295
"176" 1348.56785840282 0.295
"177" 1351.7315243395 0.297
"178" 1352.97693081729 0.297
"179" 1353.53279345295 0.297
"180" 1354.58627426553 0.298
"181" 1356.20206536972 0.298
"182" 1357.38118119316 0.299
"183" 1358.26414269863 0.299
"184" 1364.47243654914 0.301
"185" 1370.4401003058 0.304
"186" 1382.35180557646 0.308
"187" 1393.07221351808 0.312
"188" 1395.22404461533 0.313
"189" 1397.97804565233 0.314
"190" 1402.97282793465 0.316
"191" 1403.48733268565 0.316
"192" 1403.62698569918 0.316
"193" 1404.81773101934 0.317
"194" 1405.14687667726 0.317
"195" 1405.79315991334 0.317
"196" 1408.71114821854 0.318
"197" 1418.66954828399 0.322
"198" 1421.42170518653 0.323
"199" 1429.05714292725 0.326
"200" 1430.91392576477 0.327
"201" 1432.90156506192 0.328
"202" 1440.31696211987 0.33
"203" 1441.02223798825 0.331
"204" 1459.12115091935 0.338
"205" 1469.28228434641 0.342
"206" 1472.27527399003 0.343
"207" 1475.02630420861 0.344
"208" 1478.77967966666 0.345
"209" 1484.90519006259 0.348
"210" 1489.19167624688 0.349
"211" 1498.02551287189 0.353
"212" 1498.29444141581 0.353
"213" 1510.62382477797 0.358
"214" 1511.29950408405 0.358
"215" 1521.63564624563 0.362
"216" 1539.45139078718 0.369
"217" 1539.64095420375 0.369
"218" 1543.6813128879 0.371
"219" 1557.47568275026 0.376
"220" 1557.71072571071 0.376
"221" 1559.90697374255 0.377
"222" 1563.6079882256 0.378
"223" 1567.71995385911 0.38
"224" 1569.60551755556 0.381
"225" 1570.35910745933 0.381
"226" 1570.97327582053 0.381
"227" 1575.71771259026 0.383
"228" 1587.94925669014 0.388
"229" 1589.12269620073 0.388
"230" 1592.39823878113 0.39
"231" 1592.59764509869 0.39
"232" 1595.24662083669 0.391
"233" 1599.02523518369 0.392
"234" 1600.04020853469 0.393
"235" 1600.34466772319 0.393
"236" 1607.46899346974 0.395
"237" 1621.40413852694 0.401
"238" 1626.9020259913 0.403
"239" 1628.09103635043 0.404
"240" 1631.28525842178 0.405
"241" 1644.08076239187 0.41
"242" 1646.13795413865 0.411
"243" 1650.64851523116 0.412
"244" 1657.85105009639 0.415
"245" 1662.32077213295 0.417
"246" 1668.84876154219 0.42
"247" 1671.41246388118 0.421
"248" 1675.42791162268 0.422
"249" 1676.92992371373 0.423
"250" 1682.805524314 0.425
"251" 1684.76655579462 0.426
"252" 1691.39830183196 0.428
"253" 1692.11318605441 0.429
"254" 1693.91725250164 0.429
"255" 1696.49539033224 0.43
"256" 1702.57629626796 0.433
"257" 1708.13726274458 0.435
"258" 1720.70760125672 0.44
"259" 1724.05491026686 0.441
"260" 1724.97977506837 0.441
"261" 1731.572474264 0.444
"262" 1733.46905674354 0.445
"263" 1741.44478424306 0.448
"264" 1745.40901198207 0.449
"265" 1747.5500749392 0.45
"266" 1768.9031707709 0.459
"267" 1786.00319533306 0.465
"268" 1791.61998550083 0.467
"269" 1794.24924173319 0.468
"270" 1805.17567838351 0.473
"271" 1807.10184649486 0.473
"272" 1816.24640939721 0.477
"273" 1828.94662037489 0.482
"274" 1832.4906891424 0.483
"275" 1841.44098877149 0.486
"276" 1842.16092958868 0.487
"277" 1843.05538317395 0.487
"278" 1844.15988934852 0.488
"279" 1852.03303557834 0.491
"280" 1859.46605553046 0.493
"281" 1865.41658474435 0.496
"282" 1865.62524969372 0.496
"283" 1878.91373322485 0.501
"284" 1882.16702254063 0.502
"285" 1897.96301748056 0.508
"286" 1902.09899085918 0.51
"287" 1907.20356648134 0.512
"288" 1909.09277781291 0.512
"289" 1909.3654961776 0.512
