"x" "F"
"1" 179.555210517101 0.001
"2" 191.657717243916 0.003
"3" 218.763971134596 0.005
"4" 232.622527184029 0.007
"5" 233.091851661613 0.009
"6" 263.851193988441 0.011
"7" 275.739125386137 0.013
"8" 281.585894611354 0.015
"9" 286.30554059246 0.017
"10" 287.43008820127 0.019
"11" 314.151072347232 0.021
"12" 322.235443948139 0.023
"13" 341.663097243733 0.025
"14" 346.309730417342 0.027
"15" 350.780460952721 0.029
"16" 380.107711744499 0.031
"17" 392.194916343428 0.033
"18" 403.420130717561 0.035
"19" 417.936669373067 0.037
"20" 424.28446503774 0.039
"21" 446.457374233095 0.041
"22" 450.327049447346 0.043
"23" 453.120195624569 0.045
"24" 459.217597779059 0.047
"25" 472.329643510897 0.049
"26" 525.353983030528 0.051
"27" 540.606499211423 0.053
"28" 542.81446209733 0.055
"29" 553.87972977549 0.057
"30" 567.539798443023 0.059
"31" 569.836976749472 0.061
"32" 574.406298482932 0.063
"33" 576.662487258716 0.065
"34" 591.041585103406 0.067
"35" 611.201370220595 0.069
"36" 620.052777555467 0.071
"37" 621.974118612807 0.073
"38" 643.727456880669 0.075
"39" 668.385678375678 0.077
"40" 675.144044143531 0.079
"41" 675.549498808876 0.081
"42" 680.699697349984 0.083
"43" 694.14906343229 0.085
"44" 706.675726551306 0.087
"45" 709.463129451824 0.089
"46" 716.493260335235 0.091
"47" 717.071641706875 0.093
"48" 720.849288812545 0.095
"49" 731.325932329286 0.097
"50" 736.081489727695 0.099
"51" 751.831675575517 0.101
"52" 758.522888426359 0.103
"53" 763.314203557109 0.105
"54" 770.567124106153 0.107
"55" 777.792893650918 0.109
"56" 780.217196657275 0.111
"57" 782.219625198157 0.113
"58" 792.795049426682 0.115
"59" 792.938166006937 0.117
"60" 802.886499663984 0.119
"61" 812.020693134016 0.121
"62" 822.375236787572 0.123
"63" 824.945413477558 0.125
"64" 826.358273439701 0.127
"65" 832.632569563489 0.129
"66" 842.457535728477 0.131
"67" 846.263576026286 0.133
"68" 868.615099923171 0.135
"69" 869.394940749052 0.137
"70" 872.374033796651 0.139
"71" 876.646647321199 0.141
"72" 891.303427576595 0.143
"73" 894.253346118599 0.145
"74" 896.060330743849 0.147
"75" 903.196259906625 0.149
"76" 905.340510843238 0.151
"77" 911.184164835424 0.153
"78" 912.05727673163 0.155
"79" 914.040461622635 0.157
"80" 914.348614205382 0.159
"81" 919.440381467314 0.161
"82" 922.158688921164 0.163
"83" 927.483376857777 0.165
"84" 930.598981412028 0.167
"85" 936.941277676479 0.169
"86" 938.56622112014 0.171
"87" 945.750686591518 0.173
"88" 945.96275166108 0.175
"89" 947.017194905501 0.177
"90" 948.014113078982 0.179
"91" 948.107247075226 0.181
"92" 951.369468136974 0.183
"93" 952.39765921001 0.185
"94" 960.968024576742 0.187
"95" 969.998441337172 0.189
"96" 972.190120002372 0.191
"97" 980.432079566092 0.193
"98" 982.735331473303 0.195
"99" 990.804013742984 0.197
"100" 994.065037189067 0.199
"101" 998.145732674651 0.201
"102" 1002.97967043126 0.203
"103" 1005.07373725955 0.205
"104" 1008.29729348798 0.207
"105" 1012.43277396026 0.209
"106" 1014.48297741176 0.211
"107" 1016.21041092548 0.213
"108" 1043.38386407031 0.215
"109" 1043.9320291474 0.217
"110" 1046.56389833144 0.219
"111" 1048.39913862746 0.221
"112" 1054.54815720824 0.223
"113" 1058.43260297502 0.225
"114" 1059.27041368411 0.227
"115" 1064.86023909284 0.229
"116" 1067.82263536497 0.231
"117" 1074.84911892739 0.233
"118" 1075.26361939635 0.235
"119" 1078.03308960573 0.237
"120" 1085.59303613046 0.239
"121" 1103.78496932586 0.241
"122" 1104.19752891086 0.243
"123" 1108.45795721604 0.245
"124" 1108.71928279657 0.247
"125" 1109.99201467535 0.249
"126" 1112.44778733713 0.251
"127" 1119.34417903537 0.253
"128" 1125.67294351075 0.255
"129" 1134.1897099576 0.257
"130" 1135.73471302841 0.259
"131" 1144.78610062116 0.261
"132" 1144.84411254062 0.263
"133" 1144.92342094381 0.265
"134" 1149.97838876639 0.267
"135" 1153.43535647986 0.269
"136" 1153.61771761912 0.271
"137" 1164.48105138943 0.273
"138" 1170.3115468332 0.275
"139" 1172.28537723898 0.277
"140" 1174.71306596901 0.279
"141" 1175.266084912 0.281
"142" 1182.88930076801 0.283
"143" 1186.00766505432 0.285
"144" 1189.22226582332 0.287
"145" 1192.66719152652 0.289
"146" 1205.59439261546 0.291
"147" 1215.52250867801 0.293
"148" 1218.09867516655 0.295
"149" 1224.77964781641 0.297
"150" 1234.12335780174 0.299
"151" 1236.74712357786 0.301
"152" 1237.16101343212 0.303
"153" 1247.16300690284 0.305
"154" 1251.22872601355 0.307
"155" 1257.43893872572 0.309
"156" 1263.71935344006 0.311
"157" 1265.27254653456 0.313
"158" 1266.41741267634 0.315
