"x" "F"
"1" 179.555210517101 0.007
"2" 191.657717243916 0.008
"3" 218.763971134596 0.01
"4" 232.622527184029 0.011
"5" 233.091851661613 0.011
"6" 263.851193988441 0.014
"7" 275.739125386137 0.015
"8" 281.585894611354 0.016
"9" 286.30554059246 0.016
"10" 287.43008820127 0.016
"11" 314.151072347232 0.019
"12" 322.235443948139 0.02
"13" 341.663097243733 0.022
"14" 346.309730417342 0.023
"15" 350.780460952721 0.024
"16" 380.107711744499 0.028
"17" 392.194916343428 0.029
"18" 403.420130717561 0.031
"19" 417.936669373067 0.033
"20" 424.28446503774 0.034
"21" 446.457374233095 0.038
"22" 450.327049447346 0.039
"23" 453.120195624569 0.039
"24" 459.217597779059 0.04
"25" 472.329643510897 0.043
"26" 525.353983030528 0.053
"27" 540.606499211423 0.057
"28" 542.81446209733 0.057
"29" 553.87972977549 0.059
"30" 567.539798443023 0.063
"31" 569.836976749472 0.063
"32" 574.406298482932 0.064
"33" 576.662487258716 0.065
"34" 591.041585103406 0.068
"35" 611.201370220595 0.073
"36" 620.052777555467 0.075
"37" 621.974118612807 0.076
"38" 643.727456880669 0.081
"39" 668.385678375678 0.088
"40" 675.144044143531 0.09
"41" 675.549498808876 0.09
"42" 680.699697349984 0.091
"43" 694.14906343229 0.095
"44" 706.675726551306 0.099
"45" 709.463129451824 0.099
"46" 716.493260335235 0.102
"47" 717.071641706875 0.102
"48" 720.849288812545 0.103
"49" 731.325932329286 0.106
"50" 736.081489727695 0.107
"51" 751.831675575517 0.112
"52" 758.522888426359 0.114
"53" 763.314203557109 0.116
"54" 770.567124106153 0.118
"55" 777.792893650918 0.12
"56" 780.217196657275 0.121
"57" 782.219625198157 0.122
"58" 792.795049426682 0.125
"59" 792.938166006937 0.125
"60" 802.886499663984 0.128
"61" 812.020693134016 0.131
"62" 822.375236787572 0.134
"63" 824.945413477558 0.135
"64" 826.358273439701 0.136
"65" 832.632569563489 0.138
"66" 842.457535728477 0.141
"67" 846.263576026286 0.142
"68" 868.615099923171 0.15
"69" 869.394940749052 0.15
"70" 872.374033796651 0.151
"71" 876.646647321199 0.153
"72" 891.303427576595 0.158
"73" 894.253346118599 0.159
"74" 896.060330743849 0.16
"75" 903.196259906625 0.162
"76" 905.340510843238 0.163
"77" 911.184164835424 0.165
"78" 912.05727673163 0.165
"79" 914.040461622635 0.166
"80" 914.348614205382 0.166
"81" 919.440381467314 0.168
"82" 922.158688921164 0.169
"83" 927.483376857777 0.171
"84" 930.598981412028 0.172
"85" 936.941277676479 0.174
"86" 938.56622112014 0.175
"87" 945.750686591518 0.177
"88" 945.96275166108 0.177
"89" 947.017194905501 0.178
"90" 948.014113078982 0.178
"91" 948.107247075226 0.178
"92" 951.369468136974 0.179
"93" 952.39765921001 0.18
"94" 960.968024576742 0.183
"95" 969.998441337172 0.186
"96" 972.190120002372 0.187
"97" 980.432079566092 0.19
"98" 982.735331473303 0.191
"99" 990.804013742984 0.194
"100" 994.065037189067 0.195
"101" 998.145732674651 0.197
"102" 1002.97967043126 0.198
"103" 1005.07373725955 0.199
"104" 1008.29729348798 0.2
"105" 1012.43277396026 0.202
"106" 1014.48297741176 0.203
"107" 1016.21041092548 0.203
"108" 1043.38386407031 0.214
"109" 1043.9320291474 0.214
"110" 1046.56389833144 0.215
"111" 1048.39913862746 0.216
"112" 1054.54815720824 0.218
"113" 1058.43260297502 0.219
"114" 1059.27041368411 0.22
"115" 1064.86023909284 0.222
"116" 1067.82263536497 0.223
"117" 1074.84911892739 0.226
"118" 1075.26361939635 0.226
"119" 1078.03308960573 0.227
"120" 1085.59303613046 0.23
"121" 1103.78496932586 0.237
"122" 1104.19752891086 0.237
"123" 1108.45795721604 0.239
"124" 1108.71928279657 0.239
"125" 1109.99201467535 0.239
"126" 1112.44778733713 0.24
"127" 1119.34417903537 0.243
"128" 1125.67294351075 0.246
"129" 1134.1897099576 0.249
"130" 1135.73471302841 0.25
"131" 1144.78610062116 0.253
"132" 1144.84411254062 0.253
"133" 1144.92342094381 0.253
"134" 1149.97838876639 0.255
"135" 1153.43535647986 0.257
"136" 1153.61771761912 0.257
"137" 1164.48105138943 0.261
"138" 1170.3115468332 0.263
"139" 1172.28537723898 0.264
"140" 1174.71306596901 0.265
"141" 1175.266084912 0.265
"142" 1182.88930076801 0.268
"143" 1186.00766505432 0.27
"144" 1189.22226582332 0.271
"145" 1192.66719152652 0.272
"146" 1205.59439261546 0.277
"147" 1215.52250867801 0.281
"148" 1218.09867516655 0.282
"149" 1224.77964781641 0.285
"150" 1234.12335780174 0.289
"151" 1236.74712357786 0.29
"152" 1237.16101343212 0.29
"153" 1247.16300690284 0.294
"154" 1251.22872601355 0.296
"155" 1257.43893872572 0.298
"156" 1263.71935344006 0.301
"157" 1265.27254653456 0.302
"158" 1266.41741267634 0.302
"159" 1269.67426805486 0.303
"160" 1270.73787517284 0.304
"161" 1271.59543295521 0.304
"162" 1272.12631477194 0.304
"163" 1277.51698540661 0.306
