"x" "F"
"1" 179.555210517101 0.01
"2" 191.657717243916 0.011
"3" 218.763971134596 0.013
"4" 232.622527184029 0.014
"5" 233.091851661613 0.014
"6" 263.851193988441 0.017
"7" 275.739125386137 0.018
"8" 281.585894611354 0.019
"9" 286.30554059246 0.019
"10" 287.43008820127 0.02
"11" 314.151072347232 0.023
"12" 322.235443948139 0.023
"13" 341.663097243733 0.026
"14" 346.309730417342 0.026
"15" 350.780460952721 0.027
"16" 380.107711744499 0.031
"17" 392.194916343428 0.033
"18" 403.420130717561 0.034
"19" 417.936669373067 0.036
"20" 424.28446503774 0.037
"21" 446.457374233095 0.041
"22" 450.327049447346 0.042
"23" 453.120195624569 0.042
"24" 459.217597779059 0.043
"25" 472.329643510897 0.045
"26" 525.353983030528 0.055
"27" 540.606499211423 0.058
"28" 542.81446209733 0.059
"29" 553.87972977549 0.061
"30" 567.539798443023 0.064
"31" 569.836976749472 0.064
"32" 574.406298482932 0.065
"33" 576.662487258716 0.066
"34" 591.041585103406 0.069
"35" 611.201370220595 0.073
"36" 620.052777555467 0.075
"37" 621.974118612807 0.076
"38" 643.727456880669 0.081
"39" 668.385678375678 0.087
"40" 675.144044143531 0.089
"41" 675.549498808876 0.089
"42" 680.699697349984 0.09
"43" 694.14906343229 0.094
"44" 706.675726551306 0.097
"45" 709.463129451824 0.098
"46" 716.493260335235 0.099
"47" 717.071641706875 0.1
"48" 720.849288812545 0.101
"49" 731.325932329286 0.103
"50" 736.081489727695 0.105
"51" 751.831675575517 0.109
"52" 758.522888426359 0.111
"53" 763.314203557109 0.112
"54" 770.567124106153 0.115
"55" 777.792893650918 0.117
"56" 780.217196657275 0.117
"57" 782.219625198157 0.118
"58" 792.795049426682 0.121
"59" 792.938166006937 0.121
"60" 802.886499663984 0.124
"61" 812.020693134016 0.127
"62" 822.375236787572 0.13
"63" 824.945413477558 0.131
"64" 826.358273439701 0.131
"65" 832.632569563489 0.133
"66" 842.457535728477 0.136
"67" 846.263576026286 0.137
"68" 868.615099923171 0.145
"69" 869.394940749052 0.145
"70" 872.374033796651 0.146
"71" 876.646647321199 0.147
"72" 891.303427576595 0.152
"73" 894.253346118599 0.153
"74" 896.060330743849 0.154
"75" 903.196259906625 0.156
"76" 905.340510843238 0.157
"77" 911.184164835424 0.159
"78" 912.05727673163 0.159
"79" 914.040461622635 0.16
"80" 914.348614205382 0.16
"81" 919.440381467314 0.161
"82" 922.158688921164 0.162
"83" 927.483376857777 0.164
"84" 930.598981412028 0.165
"85" 936.941277676479 0.167
"86" 938.56622112014 0.168
"87" 945.750686591518 0.17
"88" 945.96275166108 0.171
"89" 947.017194905501 0.171
"90" 948.014113078982 0.171
"91" 948.107247075226 0.171
"92" 951.369468136974 0.172
"93" 952.39765921001 0.173
"94" 960.968024576742 0.176
"95" 969.998441337172 0.179
"96" 972.190120002372 0.18
"97" 980.432079566092 0.183
"98" 982.735331473303 0.184
"99" 990.804013742984 0.186
"100" 994.065037189067 0.188
"101" 998.145732674651 0.189
"102" 1002.97967043126 0.191
"103" 1005.07373725955 0.192
"104" 1008.29729348798 0.193
"105" 1012.43277396026 0.194
"106" 1014.48297741176 0.195
"107" 1016.21041092548 0.196
"108" 1043.38386407031 0.206
"109" 1043.9320291474 0.206
"110" 1046.56389833144 0.207
"111" 1048.39913862746 0.208
"112" 1054.54815720824 0.21
"113" 1058.43260297502 0.211
"114" 1059.27041368411 0.212
"115" 1064.86023909284 0.214
"116" 1067.82263536497 0.215
"117" 1074.84911892739 0.218
"118" 1075.26361939635 0.218
"119" 1078.03308960573 0.219
"120" 1085.59303613046 0.222
"121" 1103.78496932586 0.229
"122" 1104.19752891086 0.229
"123" 1108.45795721604 0.231
"124" 1108.71928279657 0.231
"125" 1109.99201467535 0.231
"126" 1112.44778733713 0.232
"127" 1119.34417903537 0.235
"128" 1125.67294351075 0.237
"129" 1134.1897099576 0.241
"130" 1135.73471302841 0.241
"131" 1144.78610062116 0.245
"132" 1144.84411254062 0.245
"133" 1144.92342094381 0.245
"134" 1149.97838876639 0.247
"135" 1153.43535647986 0.248
"136" 1153.61771761912 0.248
"137" 1164.48105138943 0.253
"138" 1170.3115468332 0.255
"139" 1172.28537723898 0.256
"140" 1174.71306596901 0.257
"141" 1175.266084912 0.257
"142" 1182.88930076801 0.26
"143" 1186.00766505432 0.261
"144" 1189.22226582332 0.263
"145" 1192.66719152652 0.264
"146" 1205.59439261546 0.269
"147" 1215.52250867801 0.273
"148" 1218.09867516655 0.274
"149" 1224.77964781641 0.277
"150" 1234.12335780174 0.281
"151" 1236.74712357786 0.282
"152" 1237.16101343212 0.282
"153" 1247.16300690284 0.286
"154" 1251.22872601355 0.288
"155" 1257.43893872572 0.29
"156" 1263.71935344006 0.293
"157" 1265.27254653456 0.294
"158" 1266.41741267634 0.294
"159" 1269.67426805486 0.295
"160" 1270.73787517284 0.296
"161" 1271.59543295521 0.296
"162" 1272.12631477194 0.296
"163" 1277.51698540661 0.299
"164" 1284.48188739955 0.302
"165" 1287.54448843433 0.303
"166" 1297.44710113484 0.307
"167" 1298.65510519345 0.307
"168" 1306.32389269694 0.311
"169" 1327.06229632176 0.319
"170" 1332.16362796447 0.322
"171" 1333.15153263853 0.322
"172" 1334.9233572739 0.323
"173" 1343.43410838193 0.326
"174" 1345.06268094681 0.327
"175" 1346.30405633371 0.327
"176" 1348.56785840282 0.328
"177" 1351.7315243395 0.33
"178" 1352.97693081729 0.33
"179" 1353.53279345295 0.33
"180" 1354.58627426553 0.331
"181" 1356.20206536972 0.332
"182" 1357.38118119316 0.332
"183" 1358.26414269863 0.332
"184" 1364.47243654914 0.335
"185" 1370.4401003058 0.338
"186" 1382.35180557646 0.343
"187" 1393.07221351808 0.347
"188" 1395.22404461533 0.348
"189" 1397.97804565233 0.349
"190" 1402.97282793465 0.351
"191" 1403.48733268565 0.352
"192" 1403.62698569918 0.352
"193" 1404.81773101934 0.352
"194" 1405.14687667726 0.352
"195" 1405.79315991334 0.353
"196" 1408.71114821854 0.354
"197" 1418.66954828399 0.358
"198" 1421.42170518653 0.359
"199" 1429.05714292725 0.362
"200" 1430.91392576477 0.363
"201" 1432.90156506192 0.364
"202" 1440.31696211987 0.367
"203" 1441.02223798825 0.368
"204" 1459.12115091935 0.375
"205" 1469.28228434641 0.38
"206" 1472.27527399003 0.381
"207" 1475.02630420861 0.382
"208" 1478.77967966666 0.384
"209" 1484.90519006259 0.386
"210" 1489.19167624688 0.388
"211" 1498.02551287189 0.392
"212" 1498.29444141581 0.392
"213" 1510.62382477797 0.397
"214" 1511.29950408405 0.397
"215" 1521.63564624563 0.402
"216" 1539.45139078718 0.409
"217" 1539.64095420375 0.409
"218" 1543.6813128879 0.411
"219" 1557.47568275026 0.417
"220" 1557.71072571071 0.417
"221" 1559.90697374255 0.418
"222" 1563.6079882256 0.42
"223" 1567.71995385911 0.421
"224" 1569.60551755556 0.422
"225" 1570.35910745933 0.422
"226" 1570.97327582053 0.423
"227" 1575.71771259026 0.425
"228" 1587.94925669014 0.43
"229" 1589.12269620073 0.43
"230" 1592.39823878113 0.432
"231" 1592.59764509869 0.432
"232" 1595.24662083669 0.433
"233" 1599.02523518369 0.435
"234" 1600.04020853469 0.435
"235" 1600.34466772319 0.435
"236" 1607.46899346974 0.438
"237" 1621.40413852694 0.444
"238" 1626.9020259913 0.446
"239" 1628.09103635043 0.447
"240" 1631.28525842178 0.448
"241" 1644.08076239187 0.454
"242" 1646.13795413865 0.454
