"x" "F"
"1" 79.3120414223141 0.007
"2" 90.154543560615 0.009
"3" 110.161151327241 0.014
"4" 113.948849097493 0.016
"5" 120.756347913593 0.018
"6" 121.374941325395 0.018
"7" 125.730904068603 0.02
"8" 126.375113034073 0.02
"9" 131.291981969784 0.022
"10" 134.17015915532 0.024
"11" 134.971281427299 0.024
"12" 145.748318751292 0.029
"13" 151.233258682412 0.032
"14" 155.062320208925 0.035
"15" 158.047771819491 0.036
"16" 160.323762954656 0.038
"17" 161.214569846557 0.038
"18" 161.896702615179 0.039
"19" 165.027137692815 0.041
"20" 171.633589289127 0.046
"21" 173.771232241592 0.047
"22" 176.986676609384 0.05
"23" 177.859894989337 0.05
"24" 179.294795528684 0.052
"25" 180.881822382461 0.053
"26" 180.881997134245 0.053
"27" 182.130310982857 0.054
"28" 191.640052323226 0.062
"29" 192.216849846404 0.063
"30" 193.554460397414 0.064
"31" 193.670414184947 0.064
"32" 194.243816655051 0.065
"33" 196.938030693822 0.067
"34" 199.786096521926 0.07
"35" 200.045941371982 0.07
"36" 203.089011764514 0.073
"37" 204.904245570202 0.075
"38" 205.838843161895 0.076
"39" 205.840821203706 0.076
"40" 206.565591302277 0.077
"41" 206.845704771478 0.077
"42" 206.927945588279 0.077
"43" 207.055395702282 0.077
"44" 209.317158879217 0.08
"45" 209.730472840303 0.08
"46" 211.8093225894 0.083
"47" 212.59323158494 0.083
"48" 213.834097041579 0.085
"49" 216.06910546 0.087
"50" 216.290689057189 0.088
"51" 219.712083839318 0.092
"52" 220.487522957622 0.092
"53" 221.067066451378 0.093
"54" 221.519984467762 0.094
"55" 221.568809797748 0.094
"56" 222.258646526523 0.095
"57" 223.269347689364 0.096
"58" 224.612272588017 0.097
"59" 225.794221959144 0.099
"60" 226.138173665041 0.099
"61" 228.522134270763 0.102
"62" 228.844256454823 0.103
"63" 230.587964795099 0.105
"64" 231.211128415277 0.106
"65" 231.230647681027 0.106
"66" 231.307653652184 0.106
"67" 233.072776293566 0.108
"68" 234.460079147305 0.11
"69" 238.032564689187 0.115
"70" 239.546295520929 0.117
"71" 239.914360539092 0.117
"72" 240.699647596195 0.118
"73" 240.87777235756 0.119
"74" 241.122275644505 0.119
"75" 243.531944691254 0.122
"76" 243.829404026978 0.123
"77" 244.824012589136 0.124
"78" 245.411836680462 0.125
"79" 247.018225752362 0.127
"80" 247.410408221287 0.128
"81" 247.701180849008 0.128
"82" 247.905802850804 0.129
"83" 248.317966409986 0.129
"84" 248.733059456511 0.13
"85" 249.383274334307 0.131
"86" 249.503723262889 0.131
"87" 249.662937503463 0.131
"88" 249.816896679959 0.131
"89" 249.826840166759 0.131
"90" 251.602541102094 0.134
"91" 252.335229785373 0.135
"92" 252.661013002242 0.136
"93" 253.220297417819 0.136
"94" 253.590570092626 0.137
"95" 253.863793255236 0.137
"96" 254.371213677376 0.138
"97" 257.451658177065 0.143
"98" 259.193585236985 0.146
"99" 259.298520085638 0.146
"100" 259.735715445423 0.146
"101" 260.840792760295 0.148
"102" 261.552031063405 0.149
"103" 263.221267226173 0.152
"104" 266.47824717947 0.157
"105" 266.766429050227 0.158
"106" 268.153936965406 0.16
"107" 268.250082651177 0.16
"108" 268.343982472222 0.16
"109" 268.477199052355 0.16
"110" 270.960499964663 0.164
"111" 271.166810602054 0.165
"112" 271.972520144138 0.166
"113" 273.30404359784 0.168
"114" 274.884390395487 0.171
"115" 274.978161527889 0.171
"116" 275.07808443945 0.171
"117" 275.910674804531 0.173
"118" 276.455033065063 0.174
"119" 277.455400424636 0.175
"120" 278.172871428873 0.177
"121" 278.209981862379 0.177
"122" 281.617480751335 0.182
"123" 281.672281843883 0.183
"124" 283.027340972753 0.185
"125" 283.217706747614 0.185
"126" 284.249382669506 0.187
"127" 284.672928029951 0.188
"128" 286.532309428475 0.191
"129" 286.931996760604 0.192
"130" 287.986999918989 0.194
"131" 288.855436014453 0.195
"132" 288.966018466841 0.195
"133" 289.456740699306 0.196
"134" 290.192356134267 0.198
"135" 290.245603301174 0.198
"136" 290.58910574916 0.198
"137" 291.769624370598 0.201
"138" 293.183202025662 0.203
"139" 294.821756064718 0.206
"140" 295.442758913831 0.207
"141" 295.455629063317 0.207
"142" 295.549634586901 0.207
"143" 297.863708926034 0.212
"144" 299.566596553075 0.215
"145" 300.743874491738 0.217
"146" 301.235776777559 0.218
"147" 302.414284374656 0.22
"148" 305.632033683109 0.226
"149" 306.072149616017 0.227
"150" 306.354613140453 0.228
"151" 307.304872142676 0.23
"152" 307.834908450246 0.231
"153" 308.23098770652 0.231
"154" 308.700530559467 0.232
"155" 308.965683226607 0.233
"156" 310.10897417183 0.235
"157" 311.500275485047 0.238
"158" 312.485077808588 0.24
"159" 312.751708815937 0.24
"160" 313.699330913378 0.242
"161" 313.986944583726 0.243
"162" 315.095353525614 0.245
"163" 315.18941726936 0.245
"164" 316.049467888805 0.247
"165" 316.92772061987 0.248
"166" 319.620883790791 0.254
"167" 321.858859080841 0.258
"168" 321.932938949902 0.258
"169" 323.384216370684 0.261
"170" 323.782236927671 0.262
"171" 323.836530535004 0.262
"172" 323.868857017024 0.262
"173" 325.380521170093 0.265
"174" 326.078385656468 0.267
"175" 326.410879931867 0.267
"176" 326.69136745921 0.268
"177" 330.629289047465 0.276
"178" 331.127235349913 0.277
"179" 331.230074649136 0.277
"180" 331.885752579146 0.279
"181" 332.751511746267 0.28
"182" 335.702253641221 0.287
"183" 335.847219081647 0.287
"184" 336.108557014079 0.287
"185" 337.852474820561 0.291
"186" 338.410810563872 0.292
"187" 339.677152737295 0.295
"188" 340.27616456963 0.296
"189" 340.281284291283 0.296
"190" 340.413656209594 0.296
"191" 340.470429426908 0.296
"192" 342.07662317616 0.3
"193" 342.439041188409 0.301
"194" 342.665654419036 0.301
"195" 342.993619889516 0.302
"196" 343.152407137131 0.302
"197" 343.354976588851 0.302
"198" 344.847938975995 0.306
"199" 344.934159679544 0.306
"200" 345.706799057591 0.307
"201" 345.804999465731 0.308
"202" 346.017332499267 0.308
"203" 347.021056715054 0.31
"204" 347.477266956063 0.311
"205" 347.655252815322 0.312
"206" 348.400448790432 0.313
"207" 348.772528250248 0.314
"208" 349.919514722539 0.316
"209" 351.266693344233 0.319
"210" 352.652104276315 0.322
"211" 352.656054128735 0.322
"212" 354.025010211461 0.325
"213" 355.034221307972 0.327
"214" 355.045095411779 0.327
"215" 355.809694006396 0.329
"216" 356.093926123579 0.33
"217" 356.33683438204 0.33
"218" 356.379397777711 0.33
"219" 356.468244966726 0.33
"220" 356.504920075601 0.33
"221" 356.653542553903 0.331
"222" 358.23954196457 0.334
"223" 358.241719601382 0.334
"224" 359.159983653079 0.336
"225" 359.577392395193 0.337
"226" 361.243664368214 0.341
"227" 362.060782290157 0.342
"228" 365.070783495485 0.349
"229" 365.77043160623 0.35
"230" 369.084644527733 0.358
"231" 369.712817607249 0.359
"232" 370.058958752475 0.36
"233" 370.211304099818 0.36
"234" 372.787715642366 0.366
"235" 375.238777367747 0.371
"236" 375.360434001022 0.371
"237" 375.608600288787 0.372
"238" 376.300978321771 0.373
"239" 377.199880039958 0.375
"240" 379.126277957929 0.379
"241" 379.251138428109 0.38
"242" 380.620290089667 0.383
"243" 381.536529534894 0.385
"244" 382.823469346717 0.387
"245" 383.84219746071 0.39
"246" 385.769507941491 0.394
"247" 386.258499431792 0.395
"248" 387.690522234699 0.398
"249" 388.278801883741 0.399
"250" 389.048279447853 0.401
"251" 391.482339400332 0.406
"252" 392.547603268432 0.409
"253" 392.681441679615 0.409
"254" 393.055281760715 0.41
"255" 395.116394045372 0.414
"256" 395.410621929357 0.415
"257" 395.790928911792 0.416
"258" 396.152282347751 0.417
"259" 398.004008962267 0.421
"260" 399.423573422028 0.424
"261" 400.310355770198 0.426
"262" 400.76376938085 0.427
"263" 400.849479926218 0.427
"264" 401.043182798166 0.427
"265" 401.159612541724 0.427
"266" 402.287116337191 0.43
"267" 402.913573840005 0.431
"268" 403.916391362961 0.433
"269" 408.205609608073 0.443
"270" 411.034964428374 0.449
"271" 413.122556603352 0.453
"272" 415.379163347371 0.458
"273" 415.906557507281 0.459
"274" 416.67790546056 0.461
"275" 416.811136236672 0.461
"276" 417.413886872882 0.463
"277" 417.936669373067 0.464
"278" 418.066422801962 0.464
"279" 418.423246175689 0.465
"280" 424.092540824493 0.477
"281" 425.203981187834 0.479
"282" 426.634007121218 0.482
"283" 428.128124676113 0.486
"284" 428.602142367594 0.487
"285" 428.982369229379 0.487
"286" 432.535114763297 0.495
"287" 432.799030200773 0.496
"288" 433.349046333819 0.497
"289" 433.786863490405 0.498
"290" 435.434007792376 0.501
"291" 437.81045308161 0.506
"292" 437.985784610763 0.506
"293" 438.044094316596 0.507
"294" 438.398150859819 0.507
"295" 438.892518900606 0.508
"296" 441.183322316516 0.513
"297" 442.048203509835 0.515
"298" 444.288839951827 0.52
"299" 444.940424064582 0.521
"300" 447.067861124686 0.525
"301" 448.256580381241 0.528
"302" 450.722525832379 0.533
"303" 451.109974633718 0.534
"304" 451.28961130494 0.534
"305" 452.41776911019 0.536
"306" 452.934744904077 0.537
"307" 457.617947336245 0.547
"308" 459.08771668572 0.55
"309" 460.897693833126 0.554
"310" 462.971339206939 0.558
"311" 463.640433740906 0.559
"312" 467.502352023557 0.567
"313" 467.716721450266 0.567
"314" 469.248527785716 0.57
"315" 470.366183879366 0.572
"316" 475.323544846397 0.582
"317" 476.425710545808 0.584
"318" 476.987388671817 0.585
"319" 478.484682825796 0.588
"320" 479.12187424099 0.589
"321" 483.340987589311 0.598
"322" 487.89202784576 0.606
"323" 490.775538677443 0.612
"324" 491.0504945629 0.612
"325" 492.286930668557 0.614
"326" 494.710170163636 0.619
"327" 494.916695755067 0.619
"328" 498.759461529844 0.626
"329" 505.330290900791 0.638
"330" 506.166966799745 0.64
"331" 506.70975826139 0.641
"332" 508.047313602036 0.643
"333" 508.685182991539 0.644
"334" 509.081159730211 0.645
"335" 510.038330142873 0.647
"336" 510.425517842564 0.647
"337" 511.345915518306 0.649
"338" 514.242159785274 0.654
"339" 515.715252105054 0.656
"340" 516.86015908408 0.658
"341" 517.136202655963 0.659
"342" 517.226289589417 0.659
"343" 517.423196556262 0.659
"344" 518.419205854475 0.661
"345" 518.88343529891 0.662
"346" 519.327027121721 0.663
"347" 520.522328667198 0.665
"348" 521.51631426612 0.666
"349" 525.57126789636 0.673
"350" 527.77131046451 0.677
"351" 529.056736109571 0.679
"352" 529.902963984647 0.68
"353" 532.652154353984 0.685
"354" 533.579921347413 0.686
"355" 537.97395287522 0.693
"356" 539.239246090659 0.695
"357" 539.983142611733 0.697
"358" 545.177482485314 0.705
"359" 554.103485209345 0.718
"360" 556.165748480833 0.721
"361" 561.30567943529 0.729
"362" 563.479237948048 0.732
"363" 563.853289103931 0.733
"364" 565.695531230455 0.735
"365" 565.791917527695 0.735
"366" 567.193185916708 0.737
"367" 568.360615771938 0.739
"368" 569.112434096666 0.74
"369" 569.42203144868 0.741
"370" 569.864123214958 0.741
"371" 571.820003963213 0.744
"372" 572.847564175498 0.745
"373" 573.87780388515 0.747
"374" 574.197139322138 0.747
"375" 575.711681347947 0.749
"376" 576.66106127777 0.751
"377" 576.882135004385 0.751
"378" 580.465492107695 0.756
"379" 583.244725107002 0.759
"380" 583.784168810422 0.76
"381" 584.589118040721 0.761
"382" 584.666082993769 0.761
"383" 586.665851826666 0.764
"384" 587.39387844776 0.765
"385" 589.980114745861 0.768
"386" 593.260889571779 0.772
"387" 593.503524300614 0.773
"388" 594.073236783435 0.773
"389" 597.349996461542 0.777
"390" 600.394542014668 0.781
"391" 600.881214945743 0.782
"392" 606.078877343369 0.788
"393" 606.091950206291 0.788
"394" 607.020037129379 0.789
"395" 611.870429965807 0.795
"396" 616.246907973842 0.8
"397" 621.346884648171 0.805
"398" 622.172928006961 0.806
"399" 622.556138291501 0.807
"400" 623.284304587575 0.808
"401" 623.733196487822 0.808
"402" 629.980345424052 0.815
"403" 634.72375061494 0.82
"404" 637.735807918435 0.823
"405" 639.463757702074 0.825
"406" 640.687871482464 0.826
"407" 641.895733011151 0.827
"408" 642.448208556778 0.828
"409" 643.20437963474 0.828
"410" 643.523374309192 0.829
"411" 645.410689796359 0.83
"412" 648.950437819697 0.834
"413" 651.773535518392 0.837
"414" 652.39178711328 0.837
"415" 653.274491220012 0.838
"416" 653.515587272313 0.838
"417" 656.355782043249 0.841
"418" 657.315250337935 0.842
"419" 658.212652461997 0.843
"420" 662.354239649295 0.846
"421" 664.031367271601 0.848
"422" 664.528138433172 0.848
"423" 667.131210396919 0.85
"424" 681.60817172524 0.863
"425" 684.052590049508 0.865
"426" 694.633513396318 0.873
"427" 695.330523763936 0.873
"428" 697.808242875465 0.875
"429" 700.51831371515 0.877
"430" 703.42827899188 0.879
"431" 707.538971639685 0.882
"432" 707.824496920407 0.882
"433" 710.356002711856 0.884
"434" 710.603469710127 0.884
"435" 720.332033557116 0.891
"436" 723.833429378044 0.893
"437" 723.871815571277 0.893
"438" 727.858624884837 0.895
"439" 732.780229100767 0.898
"440" 741.328617614464 0.903
"441" 741.854171416909 0.904
"442" 759.432975590949 0.913
"443" 764.312122443875 0.916
"444" 769.918272214158 0.918
"445" 774.523915738785 0.921
"446" 778.483765628929 0.922
"447" 779.945843707021 0.923
"448" 783.905271835687 0.925
"449" 796.687281307201 0.93
"450" 798.834910625058 0.931
"451" 802.833636009297 0.933
"452" 804.907306826947 0.934
"453" 811.885627749596 0.936
"454" 811.914916810867 0.936
"455" 819.269768559922 0.939
"456" 836.201081671724 0.945
"457" 844.419501919352 0.947
"458" 855.094737692641 0.951
"459" 859.493221094998 0.952
"460" 863.022246727522 0.953
"461" 872.325726719259 0.955
"462" 883.407447044711 0.958
"463" 886.834462296868 0.959
"464" 895.14321922378 0.961
"465" 905.134714484905 0.963
"466" 916.91438750668 0.965
"467" 917.855736427589 0.966
"468" 925.134703506826 0.967
"469" 940.476721497893 0.97
"470" 942.651781193296 0.97
"471" 949.16177570383 0.971
"472" 952.855407957711 0.972
"473" 964.663828564937 0.974
"474" 974.372012630169 0.975
"475" 978.255594724773 0.976
"476" 979.342380057743 0.976
"477" 983.150525776982 0.976
"478" 993.131159398332 0.978
"479" 1027.76502042215 0.982
"480" 1032.5821221533 0.982
"481" 1053.51264003873 0.984
"482" 1055.301541588 0.984
"483" 1066.10612707554 0.985
"484" 1081.15588019538 0.986
"485" 1097.57624480677 0.987
"486" 1099.7732379501 0.988
"487" 1108.4007584312 0.988
"488" 1146.9786215039 0.99
"489" 1156.43199888496 0.991
"490" 1177.51515824612 0.992
"491" 1193.39556007325 0.993
"492" 1200.40807818038 0.993
"493" 1203.17473311484 0.993
"494" 1205.59439261546 0.993
"495" 1243.81853188211 0.994
"496" 1249.01172292488 0.994
"497" 1287.76954570195 0.995
"498" 1306.0291900444 0.996
"499" 1485.07750885939 0.999
"500" 2489.37465007913 1
