"x" "F"
"1" 79.3120414223141 0.001
"2" 90.154543560615 0.003
"3" 110.161151327241 0.005
"4" 113.948849097493 0.007
"5" 120.756347913593 0.009
"6" 121.374941325395 0.011
"7" 125.730904068603 0.013
"8" 126.375113034073 0.015
"9" 131.291981969784 0.017
"10" 134.17015915532 0.019
"11" 134.971281427299 0.021
"12" 145.748318751292 0.023
"13" 151.233258682412 0.025
"14" 155.062320208925 0.027
"15" 158.047771819491 0.029
"16" 160.323762954656 0.031
"17" 161.214569846557 0.033
"18" 161.896702615179 0.035
"19" 165.027137692815 0.037
"20" 171.633589289127 0.039
"21" 173.771232241592 0.041
"22" 176.986676609384 0.043
"23" 177.859894989337 0.045
"24" 179.294795528684 0.047
"25" 180.881822382461 0.049
"26" 180.881997134245 0.051
"27" 182.130310982857 0.053
"28" 191.640052323226 0.055
"29" 192.216849846404 0.057
"30" 193.554460397414 0.059
"31" 193.670414184947 0.061
"32" 194.243816655051 0.063
"33" 196.938030693822 0.065
"34" 199.786096521926 0.067
"35" 200.045941371982 0.069
"36" 203.089011764514 0.071
"37" 204.904245570202 0.073
"38" 205.838843161895 0.075
"39" 205.840821203706 0.077
"40" 206.565591302277 0.079
"41" 206.845704771478 0.081
"42" 206.927945588279 0.083
"43" 207.055395702282 0.085
"44" 209.317158879217 0.087
"45" 209.730472840303 0.089
"46" 211.8093225894 0.091
"47" 212.59323158494 0.093
"48" 213.834097041579 0.095
"49" 216.06910546 0.097
"50" 216.290689057189 0.099
"51" 219.712083839318 0.101
"52" 220.487522957622 0.103
"53" 221.067066451378 0.105
"54" 221.519984467762 0.107
"55" 221.568809797748 0.109
"56" 222.258646526523 0.111
"57" 223.269347689364 0.113
"58" 224.612272588017 0.115
"59" 225.794221959144 0.117
"60" 226.138173665041 0.119
"61" 228.522134270763 0.121
"62" 228.844256454823 0.123
"63" 230.587964795099 0.125
"64" 231.211128415277 0.127
"65" 231.230647681027 0.129
"66" 231.307653652184 0.131
"67" 233.072776293566 0.133
"68" 234.460079147305 0.135
"69" 238.032564689187 0.137
"70" 239.546295520929 0.139
"71" 239.914360539092 0.141
"72" 240.699647596195 0.143
"73" 240.87777235756 0.145
"74" 241.122275644505 0.147
"75" 243.531944691254 0.149
"76" 243.829404026978 0.151
"77" 244.824012589136 0.153
"78" 245.411836680462 0.155
"79" 247.018225752362 0.157
"80" 247.410408221287 0.159
"81" 247.701180849008 0.161
"82" 247.905802850804 0.163
"83" 248.317966409986 0.165
"84" 248.733059456511 0.167
"85" 249.383274334307 0.169
"86" 249.503723262889 0.171
"87" 249.662937503463 0.173
"88" 249.816896679959 0.175
"89" 249.826840166759 0.177
"90" 251.602541102094 0.179
"91" 252.335229785373 0.181
"92" 252.661013002242 0.183
"93" 253.220297417819 0.185
"94" 253.590570092626 0.187
"95" 253.863793255236 0.189
"96" 254.371213677376 0.191
"97" 257.451658177065 0.193
"98" 259.193585236985 0.195
"99" 259.298520085638 0.197
"100" 259.735715445423 0.199
"101" 260.840792760295 0.201
"102" 261.552031063405 0.203
"103" 263.221267226173 0.205
"104" 266.47824717947 0.207
"105" 266.766429050227 0.209
"106" 268.153936965406 0.211
"107" 268.250082651177 0.213
"108" 268.343982472222 0.215
"109" 268.477199052355 0.217
"110" 270.960499964663 0.219
"111" 271.166810602054 0.221
"112" 271.972520144138 0.223
"113" 273.30404359784 0.225
"114" 274.884390395487 0.227
"115" 274.978161527889 0.229
"116" 275.07808443945 0.231
"117" 275.910674804531 0.233
"118" 276.455033065063 0.235
"119" 277.455400424636 0.237
"120" 278.172871428873 0.239
"121" 278.209981862379 0.241
"122" 281.617480751335 0.243
"123" 281.672281843883 0.245
"124" 283.027340972753 0.247
"125" 283.217706747614 0.249
"126" 284.249382669506 0.251
"127" 284.672928029951 0.253
"128" 286.532309428475 0.255
"129" 286.931996760604 0.257
"130" 287.986999918989 0.259
"131" 288.855436014453 0.261
"132" 288.966018466841 0.263
"133" 289.456740699306 0.265
"134" 290.192356134267 0.267
"135" 290.245603301174 0.269
"136" 290.58910574916 0.271
"137" 291.769624370598 0.273
"138" 293.183202025662 0.275
"139" 294.821756064718 0.277
"140" 295.442758913831 0.279
"141" 295.455629063317 0.281
"142" 295.549634586901 0.283
"143" 297.863708926034 0.285
"144" 299.566596553075 0.287
"145" 300.743874491738 0.289
"146" 301.235776777559 0.291
"147" 302.414284374656 0.293
"148" 305.632033683109 0.295
"149" 306.072149616017 0.297
"150" 306.354613140453 0.299
"151" 307.304872142676 0.301
"152" 307.834908450246 0.303
"153" 308.23098770652 0.305
"154" 308.700530559467 0.307
"155" 308.965683226607 0.309
"156" 310.10897417183 0.311
"157" 311.500275485047 0.313
"158" 312.485077808588 0.315
"159" 312.751708815937 0.317
"160" 313.699330913378 0.319
"161" 313.986944583726 0.321
"162" 315.095353525614 0.323
"163" 315.18941726936 0.325
"164" 316.049467888805 0.327
"165" 316.92772061987 0.329
"166" 319.620883790791 0.331
"167" 321.858859080841 0.333
"168" 321.932938949902 0.335
"169" 323.384216370684 0.337
"170" 323.782236927671 0.339
"171" 323.836530535004 0.341
"172" 323.868857017024 0.343
"173" 325.380521170093 0.345
"174" 326.078385656468 0.347
"175" 326.410879931867 0.349
"176" 326.69136745921 0.351
"177" 330.629289047465 0.353
"178" 331.127235349913 0.355
"179" 331.230074649136 0.357
"180" 331.885752579146 0.359
"181" 332.751511746267 0.361
"182" 335.702253641221 0.363
"183" 335.847219081647 0.365
"184" 336.108557014079 0.367
"185" 337.852474820561 0.369
"186" 338.410810563872 0.371
"187" 339.677152737295 0.373
"188" 340.27616456963 0.375
"189" 340.281284291283 0.377
"190" 340.413656209594 0.379
"191" 340.470429426908 0.381
"192" 342.07662317616 0.383
"193" 342.439041188409 0.385
"194" 342.665654419036 0.387
"195" 342.993619889516 0.389
"196" 343.152407137131 0.391
"197" 343.354976588851 0.393
"198" 344.847938975995 0.395
"199" 344.934159679544 0.397
"200" 345.706799057591 0.399
"201" 345.804999465731 0.401
"202" 346.017332499267 0.403
"203" 347.021056715054 0.405
"204" 347.477266956063 0.407
"205" 347.655252815322 0.409
"206" 348.400448790432 0.411
"207" 348.772528250248 0.413
"208" 349.919514722539 0.415
"209" 351.266693344233 0.417
"210" 352.652104276315 0.419
"211" 352.656054128735 0.421
"212" 354.025010211461 0.423
"213" 355.034221307972 0.425
"214" 355.045095411779 0.427
"215" 355.809694006396 0.429
"216" 356.093926123579 0.431
"217" 356.33683438204 0.433
"218" 356.379397777711 0.435
"219" 356.468244966726 0.437
"220" 356.504920075601 0.439
"221" 356.653542553903 0.441
"222" 358.23954196457 0.443
"223" 358.241719601382 0.445
"224" 359.159983653079 0.447
"225" 359.577392395193 0.449
"226" 361.243664368214 0.451
"227" 362.060782290157 0.453
"228" 365.070783495485 0.455
"229" 365.77043160623 0.457
"230" 369.084644527733 0.459
"231" 369.712817607249 0.461
"232" 370.058958752475 0.463
"233" 370.211304099818 0.465
"234" 372.787715642366 0.467
"235" 375.238777367747 0.469
"236" 375.360434001022 0.471
"237" 375.608600288787 0.473
"238" 376.300978321771 0.475
"239" 377.199880039958 0.477
"240" 379.126277957929 0.479
"241" 379.251138428109 0.481
"242" 380.620290089667 0.483
"243" 381.536529534894 0.485
"244" 382.823469346717 0.487
"245" 383.84219746071 0.489
"246" 385.769507941491 0.491
"247" 386.258499431792 0.493
"248" 387.690522234699 0.495
"249" 388.278801883741 0.497
"250" 389.048279447853 0.499
"251" 391.482339400332 0.501
"252" 392.547603268432 0.503
"253" 392.681441679615 0.505
"254" 393.055281760715 0.507
"255" 395.116394045372 0.509
"256" 395.410621929357 0.511
"257" 395.790928911792 0.513
"258" 396.152282347751 0.515
"259" 398.004008962267 0.517
"260" 399.423573422028 0.519
"261" 400.310355770198 0.521
"262" 400.76376938085 0.523
"263" 400.849479926218 0.525
"264" 401.043182798166 0.527
"265" 401.159612541724 0.529
"266" 402.287116337191 0.531
"267" 402.913573840005 0.533
"268" 403.916391362961 0.535
"269" 408.205609608073 0.537
"270" 411.034964428374 0.539
"271" 413.122556603352 0.541
"272" 415.379163347371 0.543
"273" 415.906557507281 0.545
"274" 416.67790546056 0.547
"275" 416.811136236672 0.549
"276" 417.413886872882 0.551
"277" 417.936669373067 0.553
"278" 418.066422801962 0.555
"279" 418.423246175689 0.557
"280" 424.092540824493 0.559
"281" 425.203981187834 0.561
"282" 426.634007121218 0.563
"283" 428.128124676113 0.565
"284" 428.602142367594 0.567
"285" 428.982369229379 0.569
"286" 432.535114763297 0.571
"287" 432.799030200773 0.573
"288" 433.349046333819 0.575
"289" 433.786863490405 0.577
"290" 435.434007792376 0.579
"291" 437.81045308161 0.581
"292" 437.985784610763 0.583
"293" 438.044094316596 0.585
"294" 438.398150859819 0.587
"295" 438.892518900606 0.589
"296" 441.183322316516 0.591
"297" 442.048203509835 0.593
"298" 444.288839951827 0.595
"299" 444.940424064582 0.597
"300" 447.067861124686 0.599
"301" 448.256580381241 0.601
"302" 450.722525832379 0.603
"303" 451.109974633718 0.605
"304" 451.28961130494 0.607
"305" 452.41776911019 0.609
"306" 452.934744904077 0.611
"307" 457.617947336245 0.613
"308" 459.08771668572 0.615
"309" 460.897693833126 0.617
"310" 462.971339206939 0.619
"311" 463.640433740906 0.621
"312" 467.502352023557 0.623
"313" 467.716721450266 0.625
"314" 469.248527785716 0.627
"315" 470.366183879366 0.629
"316" 475.323544846397 0.631
"317" 476.425710545808 0.633
"318" 476.987388671817 0.635
"319" 478.484682825796 0.637
"320" 479.12187424099 0.639
"321" 483.340987589311 0.641
"322" 487.89202784576 0.643
"323" 490.775538677443 0.645
"324" 491.0504945629 0.647
