"x" "F"
"1" 79.3120414223141 0.016
"2" 90.154543560615 0.019
"3" 110.161151327241 0.027
"4" 113.948849097493 0.029
"5" 120.756347913593 0.032
"6" 121.374941325395 0.032
"7" 125.730904068603 0.035
"8" 126.375113034073 0.035
"9" 131.291981969784 0.038
"10" 134.17015915532 0.039
"11" 134.971281427299 0.04
"12" 145.748318751292 0.046
"13" 151.233258682412 0.049
"14" 155.062320208925 0.052
"15" 158.047771819491 0.054
"16" 160.323762954656 0.056
"17" 161.214569846557 0.056
"18" 161.896702615179 0.057
"19" 165.027137692815 0.059
"20" 171.633589289127 0.064
"21" 173.771232241592 0.066
"22" 176.986676609384 0.068
"23" 177.859894989337 0.069
"24" 179.294795528684 0.07
"25" 180.881822382461 0.071
"26" 180.881997134245 0.071
"27" 182.130310982857 0.073
"28" 191.640052323226 0.081
"29" 192.216849846404 0.081
"30" 193.554460397414 0.083
"31" 193.670414184947 0.083
"32" 194.243816655051 0.083
"33" 196.938030693822 0.086
"34" 199.786096521926 0.088
"35" 200.045941371982 0.089
"36" 203.089011764514 0.092
"37" 204.904245570202 0.093
"38" 205.838843161895 0.094
"39" 205.840821203706 0.094
"40" 206.565591302277 0.095
"41" 206.845704771478 0.095
"42" 206.927945588279 0.095
"43" 207.055395702282 0.096
"44" 209.317158879217 0.098
"45" 209.730472840303 0.098
"46" 211.8093225894 0.1
"47" 212.59323158494 0.101
"48" 213.834097041579 0.103
"49" 216.06910546 0.105
"50" 216.290689057189 0.105
"51" 219.712083839318 0.109
"52" 220.487522957622 0.11
"53" 221.067066451378 0.11
"54" 221.519984467762 0.111
"55" 221.568809797748 0.111
"56" 222.258646526523 0.112
"57" 223.269347689364 0.113
"58" 224.612272588017 0.114
"59" 225.794221959144 0.116
"60" 226.138173665041 0.116
"61" 228.522134270763 0.119
"62" 228.844256454823 0.119
"63" 230.587964795099 0.121
"64" 231.211128415277 0.122
"65" 231.230647681027 0.122
"66" 231.307653652184 0.122
"67" 233.072776293566 0.124
"68" 234.460079147305 0.126
"69" 238.032564689187 0.13
"70" 239.546295520929 0.132
"71" 239.914360539092 0.132
"72" 240.699647596195 0.133
"73" 240.87777235756 0.133
"74" 241.122275644505 0.134
